district,bedrooms,bathrooms,price_vnd,area_m2,price_per_m2
Hoài Đức,0,0,0.112,75.0,1493333.3333333333
Nam Từ Liêm,0,0,68.0,120.0,566666666.6666666
Hoàng Mai,0,0,16.0,50.0,320000000.0
Hoài Đức,0,0,0.12,103.0,1165048.5436893203
Long Biên,0,0,14.0,88.0,159090909.0909091
Móng Cái,0,0,6.0,90.0,66666666.666666664
Long Biên,0,0,72.0,300.0,240000000.0
Hoàng Mai,0,0,8.0,48.0,166666666.66666666
Thanh Xuân,0,0,3.0,27.0,111111111.1111111
Bắc Từ Liêm,0,0,4.0,63.0,63492063.49206349
Ba Đình,0,0,35.0,58.0,603448275.862069
Nam Từ Liêm,0,0,4.0,64.0,62500000.0
Nam Từ Liêm,0,0,65.0,150.0,433333333.3333333
Tây Hồ,0,0,12.0,45.0,266666666.66666666
Hà Đông,0,0,9.0,35.0,257142857.14285713
Long Biên,0,0,13.0,80.0,162500000.0
Tây Hồ,0,0,12.0,45.0,266666666.66666666
Hà Đông,0,0,9.0,35.0,257142857.14285713
Long Biên,0,0,13.0,80.0,162500000.0
Hai Bà Trưng,0,0,11.0,68.0,161764705.88235295
Đống Đa,0,0,3.0,85.0,35294117.64705882
Cầu Giấy,0,0,7.0,95.0,73684210.5263158
Cam Ranh,0,0,6.0,120.0,50000000.0
Gia Lâm,0,0,2.0,43.0,46511627.906976745
Nam Từ Liêm,0,0,6.0,67.0,89552238.80597015
Hà Đông,0,0,16.0,88.0,181818181.8181818
Long Biên,0,0,4.0,40.0,100000000.0
Tây Hồ,0,0,8.0,35.0,228571428.57142857
Long Biên,0,0,22.0,125.0,176000000.0
Nam Từ Liêm,0,0,4.0,61.0,65573770.49180328
Nam Từ Liêm,0,0,3.0,63.0,47619047.61904762
Nam Từ Liêm,0,0,4.0,61.0,65573770.49180328
Nam Từ Liêm,0,0,3.0,63.0,47619047.61904762
Nam Từ Liêm,0,0,4.0,77.0,51948051.948051944
Móng Cái,0,0,6.0,90.0,66666666.666666664
Nam Từ Liêm,0,0,4.0,74.0,54054054.05405405
Nam Từ Liêm,0,0,16.0,69.0,231884057.9710145
Nam Từ Liêm,0,0,4.0,83.0,48192771.084337346
Hoàng Mai,0,0,11.0,68.0,161764705.88235295
Nam Từ Liêm,0,0,7.0,133.0,52631578.94736842
Long Biên,0,0,10.0,95.0,105263157.89473684
Hà Đông,0,0,8.0,75.0,106666666.66666667
Nam Từ Liêm,0,0,5.0,83.0,60240963.855421685
Thanh Xuân,0,0,7.0,112.0,62500000.0
Gia Lâm,0,0,5.0,48.0,104166666.66666667
Cầu Giấy,0,0,16.0,50.0,320000000.0
Thanh Xuân,0,0,6.0,70.0,85714285.71428572
Tây Hồ,0,0,6.0,33.0,181818181.8181818
Gia Lâm,0,0,3.0,56.0,53571428.571428575
Hoài Đức,0,0,0.158,83.0,1903614.4578313252
Thanh Xuân,0,0,5.0,70.0,71428571.42857143
Ba Đình,0,0,8.0,57.0,140350877.19298247
Long Biên,0,0,12.0,90.0,133333333.33333333
Cầu Giấy,0,0,6.0,78.0,76923076.92307693
Cam Ranh,0,0,6.0,120.0,50000000.0
Sóc Sơn,0,0,1.0,68.0,14705882.352941176
Nam Từ Liêm,0,0,12.0,116.0,103448275.86206897
Nam Từ Liêm,0,0,5.0,108.0,46296296.2962963
Cầu Giấy,0,0,8.0,96.0,83333333.33333333
Chương Mỹ,0,0,1.0,150.0,6666666.666666667
Nam Từ Liêm,0,0,7.0,126.0,55555555.55555555
Gia Lâm,0,0,2.0,45.0,44444444.44444445
Nam Từ Liêm,0,0,3.0,47.0,63829787.234042555
Thanh Xuân,0,0,5.0,65.0,76923076.92307693
Nam Từ Liêm,0,0,32.0,107.0,299065420.5607477
Gia Lâm,0,0,3.0,42.0,71428571.42857143
Nam Từ Liêm,0,0,8.0,207.0,38647342.99516908
Long Biên,0,0,11.0,99.0,111111111.1111111
Nam Từ Liêm,0,0,4.0,63.0,63492063.49206349
Cầu Giấy,0,0,5.0,68.0,73529411.76470588
Nam Từ Liêm,0,0,16.0,190.0,84210526.31578948
Tây Hồ,0,0,24.0,51.0,470588235.2941176
Cam Ranh,0,0,6.0,120.0,50000000.0
Nam Từ Liêm,0,0,4.0,86.0,46511627.906976745
Gia Lâm,0,0,5.0,42.0,119047619.04761904
Hoài Đức,0,0,0.2,67.0,2985074.6268656715
Cầu Giấy,0,0,8.0,98.0,81632653.06122449
Nam Từ Liêm,0,0,10.0,156.0,64102564.102564104
Đống Đa,0,0,5.0,52.0,96153846.15384616
Nam Từ Liêm,0,0,6.0,120.0,50000000.0
Hoài Đức,0,0,28.0,194.0,144329896.9072165
Thanh Xuân,0,0,6.0,90.0,66666666.666666664
Hà Đông,0,0,13.0,40.0,325000000.0
Ba Đình,0,0,2.0,50.0,40000000.0
Cầu Giấy,0,0,8.0,169.0,47337278.10650887
Bắc Từ Liêm,0,0,22.0,181.0,121546961.32596685
Thạch Thất,0,0,52.0,15.0,3466666666.6666665
Thạch Thất,0,0,52.0,15.0,3466666666.6666665
Nam Từ Liêm,0,0,3.0,60.0,50000000.0
Cầu Giấy,0,0,35.0,70.0,500000000.0
Cam Ranh,0,0,6.0,120.0,50000000.0
Tây Hồ,0,0,27.0,76.0,355263157.8947368
Thanh Xuân,0,0,7.0,104.0,67307692.3076923
Ba Đình,0,0,13.0,80.0,162500000.0
Cầu Giấy,0,0,6.0,96.0,62500000.0
Nam Từ Liêm,0,0,4.0,75.0,53333333.333333336
Cầu Giấy,0,0,3.0,52.0,57692307.692307696
Nam Từ Liêm,0,0,8.0,113.0,70796460.17699115
Cầu Giấy,0,0,10.0,159.0,62893081.76100629
Nam Từ Liêm,0,0,4.0,73.0,54794520.54794521
Hoài Đức,0,0,3.0,46.0,65217391.30434783
Hà Đông,0,0,15.0,40.0,375000000.0
Thanh Xuân,0,0,1.0,40.0,25000000.0
Tây Hồ,0,0,24.0,58.0,413793103.44827586
Tây Hồ,0,0,24.0,58.0,413793103.44827586
Nam Từ Liêm,0,0,6.0,100.0,60000000.0
Đống Đa,0,0,36.0,88.0,409090909.09090906
Cam Ranh,0,0,6.0,120.0,50000000.0
Nam Từ Liêm,0,0,5.0,78.0,64102564.102564104
Thanh Xuân,0,0,15.0,41.0,365853658.5365854
Gia Lâm,0,0,68.0,227.0,299559471.3656388
Nam Từ Liêm,0,0,5.0,105.0,47619047.61904762
Ba Vì,0,0,1.0,442.0,2262443.438914027
Cầu Giấy,0,0,50.0,160.0,312500000.0
Cầu Giấy,0,0,39.0,165.0,236363636.36363637
Đống Đa,0,0,13.0,55.0,236363636.36363637
Nam Từ Liêm,0,0,6.0,97.0,61855670.10309278
Thanh Xuân,0,0,5.0,71.0,70422535.2112676
Long Biên,0,0,30.0,130.0,230769230.76923078
Nam Từ Liêm,0,0,5.0,73.0,68493150.6849315
Thanh Xuân,0,0,18.0,80.0,225000000.0
Hà Đông,0,0,3.0,60.0,50000000.0
Hà Đông,0,0,3.0,60.0,50000000.0
Nam Từ Liêm,0,0,4.0,82.0,48780487.80487805
Thanh Xuân,0,0,5.0,70.0,71428571.42857143
Đông Anh,0,0,30.0,331.0,90634441.0876133
Cầu Giấy,0,0,2.0,40.0,50000000.0
Thanh Xuân,0,0,9.0,50.0,180000000.0
Cầu Giấy,0,0,5.0,76.0,65789473.684210524
Hai Bà Trưng,0,0,25.0,75.0,333333333.3333333
Đống Đa,0,0,20.0,60.0,333333333.3333333
Thanh Xuân,0,0,7.0,85.0,82352941.1764706
Hai Bà Trưng,0,0,2.0,51.0,39215686.2745098
Cầu Giấy,0,0,3.0,150.0,20000000.0
Tây Hồ,0,0,7.0,40.0,175000000.0
Hà Đông,0,0,29.0,183.0,158469945.35519126
Cầu Giấy,0,0,26.0,65.0,400000000.0
Cầu Giấy,0,0,26.0,65.0,400000000.0
Bắc Từ Liêm,0,0,18.0,65.0,276923076.9230769
Đống Đa,0,0,30.0,110.0,272727272.72727275
Bắc Từ Liêm,0,0,39.0,166.0,234939759.03614458
Hoàng Mai,0,0,5.0,86.0,58139534.88372093
Ba Đình,0,0,9.0,60.0,150000000.0
Cầu Giấy,0,0,33.0,161.0,204968944.09937888
Nam Từ Liêm,0,0,5.0,109.0,45871559.633027524
Thanh Xuân,0,0,5.0,71.0,70422535.2112676
Tây Hồ,0,0,7.0,40.0,175000000.0
Nam Từ Liêm,0,0,21.0,57.0,368421052.6315789
Cầu Giấy,0,0,7.0,42.0,166666666.66666666
Cầu Giấy,0,0,3.0,60.0,50000000.0
Đống Đa,0,0,22.0,110.0,200000000.0
Gia Lâm,0,0,2.0,48.0,41666666.666666664
Nam Từ Liêm,0,0,5.0,108.0,46296296.2962963
Cầu Giấy,0,0,8.0,30.0,266666666.66666666
Mê Linh,0,0,3.0,67.0,44776119.40298507
